Id,SalePrice
1461,126500
1462,145250
1463,178000
1464,190000
1465,213500
1466,185000
1467,165000
1468,176000
1469,180500
1470,128500
1471,197000
1472,88000
1473,94750
1474,155000
1475,148000
1476,410000
1477,256300
1478,313000
1479,253293
1480,466500
1481,310000
1482,209500
1483,176432
1484,178000
1485,169990
1486,194201
1487,290000
1488,230000
1489,208900
1490,205000
1491,192500
1492,110000
1493,181000
1494,301000
1495,290000
1496,227000
1497,203000
1498,151000
1499,148800
1500,155900
1501,177000
1502,175900
1503,297000
1504,225000
1505,217000
1506,170000
1507,216500
1508,195000
1509,160000
1510,145250
1511,147500
1512,165500
1513,138000
1514,158000
1515,157000
1516,159000
1517,148000
1518,131500
1519,220000
1520,139000
1521,141000
1522,159000
1523,111000
1524,123500
1525,133700
1526,129900
1527,103000
1528,128000
1529,145000
1530,159000
1531,128000
1532,108000
1533,132500
1534,115000
1535,160000
1536,119000
1537,79000
1538,172500
1539,240000
1540,115000
1541,135900
1542,137900
1543,225000
1544,80000
1545,100000
1546,119900
1547,133000
1548,123500
1549,108500
1550,137450
1551,118500
1552,129500
1553,137450
1554,115000
1555,165000
1556,87000
1557,113000
1558,88000
1559,113000
1560,138000
1561,139000
1562,125500
1563,125000
1564,168500
1565,159950
1566,215000
1567,80000
1568,217500
1569,140000
1570,137450
1571,137450
1572,147000
1573,235000
1574,108000
1575,210000
1576,217000
1577,207000
1578,139000
1579,145000
1580,190000
1581,143000
1582,128500
1583,318061
1584,233000
1585,142000
1586,93000
1587,112000
1588,145000
1589,112000
1590,129000
1591,110000
1592,128200
1593,119900
1594,189000
1595,117000
1596,225000
1597,154300
1598,183000
1599,187500
1600,187500
1601,81000
1602,110000
1603,102000
1604,275000
1605,235000
1606,165500
1607,150900
1608,214000
1609,198900
1610,167500
1611,147000
1612,175000
1613,171000
1614,123000
1615,91000
1616,86000
1617,91000
1618,127500
1619,141000
1620,160000
1621,142500
1622,148500
1623,307000
1624,217500
1625,131500
1626,171750
1627,185000
1628,285000
1629,180000
1630,315000
1631,215000
1632,262500
1633,174000
1634,187500
1635,179665
1636,164700
1637,180000
1638,215000
1639,181000
1640,250000
1641,180000
1642,224900
1643,227000
1644,228500
1645,180000
1646,157900
1647,167000
1648,140000
1649,138500
1650,120500
1651,124500
1652,100000
1653,100000
1654,155000
1655,152000
1656,148500
1657,155000
1658,149000
1659,145000
1660,148000
1661,437154
1662,350000
1663,372500
1664,501837
1665,318061
1666,315000
1667,345000
1668,318000
1669,287090
1670,325000
1671,262280
1672,485000
1673,309000
1674,250000
1675,181000
1676,181000
1677,203000
1678,501837
1679,380000
1680,318061
1681,266000
1682,297000
1683,180000
1684,171900
1685,178000
1686,178740
1687,167000
1688,190000
1689,192500
1690,184000
1691,183900
1692,269500
1693,171900
1694,186500
1695,165400
1696,259000
1697,165400
1698,318000
1699,325000
1700,234000
1701,258000
1702,250000
1703,245350
1704,306000
1705,232000
1706,465000
1707,227680
1708,227680
1709,264132
1710,209500
1711,239900
1712,240000
1713,248328
1714,220000
1715,203000
1716,179600
1717,171900
1718,149350
1719,201000
1720,262000
1721,159895
1722,147000
1723,153900
1724,207500
1725,233000
1726,188000
1727,171500
1728,184000
1729,161750
1730,163000
1731,118000
1732,129900
1733,128500
1734,128200
1735,135000
1736,112500
1737,360000
1738,226700
1739,265000
1740,193000
1741,186000
1742,176000
1743,180000
1744,315000
1745,216837
1746,237000
1747,219500
1748,200000
1749,159950
1750,144000
1751,235000
1752,120500
1753,138887
1754,200100
1755,169900
1756,125500
1757,118500
1758,143000
1759,170000
1760,162000
1761,143000
1762,169000
1763,159000
1764,119900
1765,153500
1766,167000
1767,208900
1768,142000
1769,167000
1770,140000
1771,132500
1772,139500
1773,137000
1774,137000
1775,134500
1776,123000
1777,118500
1778,134800
1779,109500
1780,175500
1781,130000
1782,105000
1783,125500
1784,104900
1785,117000
1786,135000
1787,174500
1788,72500
1789,108000
1790,100000
1791,167000
1792,145250
1793,137500
1794,138500
1795,140000
1796,128000
1797,123000
1798,132500
1799,113000
1800,127000
1801,135000
1802,140000
1803,145000
1804,139000
1805,134000
1806,119500
1807,135000
1808,120000
1809,124900
1810,140000
1811,108000
1812,107400
1813,119000
1814,100000
1815,73000
1816,100000
1817,117000
1818,124000
1819,119000
1820,93000
1821,117500
1822,135000
1823,58500
1824,137450
1825,149000
1826,101800
1827,108500
1828,131000
1829,112000
1830,124500
1831,176000
1832,107400
1833,137900
1834,135000
1835,161000
1836,124000
1837,103200
1838,128000
1839,90350
1840,179000
1841,153900
1842,85000
1843,138500
1844,147000
1845,140000
1846,157900
1847,143900
1848,80500
1849,102000
1850,128950
1851,160000
1852,128000
1853,132500
1854,179900
1855,147000
1856,228500
1857,169000
1858,124500
1859,118858
1860,153337
1861,118858
1862,274725
1863,274725
1864,274725
1865,325624
1866,320000
1867,244600
1868,307000
1869,193879
1870,239900
1871,270000
1872,174000
1873,235000
1874,138500
1875,210000
1876,188000
1877,215000
1878,214000
1879,138500
1880,137000
1881,246578
1882,274725
1883,208500
1884,221000
1885,251000
1886,312500
1887,206300
1888,270000
1889,167900
1890,132500
1891,145000
1892,112500
1893,141000
1894,127500
1895,145000
1896,127000
1897,119900
1898,110000
1899,139000
1900,145000
1901,172000
1902,139000
1903,225000
1904,139000
1905,181000
1906,149000
1907,220000
1908,124000
1909,140000
1910,124000
1911,193500
1912,272000
1913,135900
1914,79000
1915,392500
1916,82000
1917,252000
1918,137000
1919,156000
1920,145000
1921,394617
1922,312500
1923,185000
1924,216000
1925,225000
1926,377500
1927,141000
1928,152000
1929,124900
1930,139000
1931,140000
1932,144000
1933,177000
1934,175900
1935,174000
1936,193000
1937,181000
1938,174000
1939,260400
1940,212000
1941,179000
1942,187500
1943,187500
1944,309000
1945,377500
1946,149900
1947,319900
1948,160000
1949,241500
1950,171900
1951,271000
1952,228000
1953,158000
1954,200000
1955,130000
1956,250000
1957,162900
1958,310000
1959,141000
1960,112500
1961,123000
1962,100000
1963,101800
1964,113000
1965,148500
1966,145000
1967,295493
1968,386250
1969,380000
1970,402861
1971,412500
1972,326000
1973,282922
1974,309000
1975,466500
1976,279500
1977,315000
1978,359100
1979,318061
1980,187750
1981,367294
1982,207500
1983,209500
1984,167240
1985,210000
1986,234000
1987,190000
1988,179000
1989,190000
1990,219500
1991,207500
1992,221000
1993,180000
1994,230000
1995,183900
1996,258000
1997,315000
1998,315000
1999,240000
2000,290000
2001,265000
2002,240000
2003,248900
2004,244600
2005,227000
2006,220000
2007,245350
2008,208900
2009,190000
2010,185900
2011,152000
2012,187500
2013,185900
2014,200500
2015,193000
2016,200000
2017,200000
2018,127500
2019,138500
2020,125000
2021,115000
2022,176000
2023,149900
2024,216500
2025,333168
2026,187100
2027,155900
2028,146000
2029,167500
2030,275000
2031,220000
2032,251000
2033,264132
2034,165000
2035,200000
2036,172500
2037,173000
2038,310000
2039,227000
2040,410000
2041,297000
2042,219500
2043,158000
2044,168000
2045,228000
2046,135000
2047,155000
2048,135000
2049,137900
2050,184000
2051,108000
2052,139000
2053,147000
2054,83000
2055,157900
2056,135000
2057,129000
2058,224000
2059,135000
2060,162000
2061,180000
2062,141000
2063,113000
2064,139000
2065,132500
2066,163000
2067,140000
2068,139900
2069,87000
2070,107500
2071,104900
2072,127500
2073,140000
2074,180000
2075,147000
2076,119900
2077,145000
2078,129900
2079,125500
2080,118000
2081,120000
2082,137900
2083,145000
2084,110000
2085,132500
2086,137500
2087,125500
2088,107000
2089,86000
2090,125000
2091,128950
2092,135000
2093,127000
2094,144000
2095,145000
2096,87000
2097,99900
2098,140000
2099,80000
2100,117500
2101,132000
2102,143000
2103,110000
2104,129500
2105,127000
2106,81000
2107,250000
2108,119000
2109,117000
2110,123500
2111,161000
2112,137500
2113,117000
2114,119000
2115,159000
2116,112500
2117,145000
2118,114500
2119,108480
2120,113000
2121,112000
2122,102776
2123,100000
2124,163000
2125,135000
2126,140000
2127,137000
2128,135000
2129,110000
2130,139000
2131,143000
2132,115000
2133,114504
2134,115000
2135,108959
2136,87000
2137,124000
2138,136500
2139,152000
2140,138000
2141,148000
2142,137500
2143,144000
2144,125000
2145,138500
2146,156000
2147,163000
2148,127000
2149,143750
2150,207500
2151,140000
2152,175000
2153,159434
2154,117000
2155,120000
2156,244000
2157,235000
2158,248000
2159,215000
2160,174000
2161,248900
2162,385000
2163,367294
2164,253000
2165,185000
2166,144500
2167,215000
2168,214000
2169,190000
2170,219500
2171,149900
2172,141000
2173,160000
2174,237000
2175,320000
2176,312500
2177,263000
2178,228500
2179,144500
2180,200000
2181,189000
2182,221500
2183,194000
2184,139000
2185,144000
2186,148000
2187,151500
2188,158000
2189,169000
2190,82000
2191,82000
2192,93000
2193,107500
2194,104900
2195,118000
2196,109900
2197,115000
2198,152000
2199,169000
2200,139000
2201,137450
2202,180000
2203,158000
2204,169000
2205,110000
2206,136000
2207,230000
2208,235000
2209,197900
2210,128000
2211,110000
2212,115000
2213,100000
2214,141000
2215,105000
2216,152000
2217,90350
2218,103600
2219,73000
2220,86000
2221,392500
2222,260400
2223,262500
2224,215200
2225,139000
2226,186500
2227,190000
2228,283463
2229,237000
2230,167500
2231,216000
2232,180000
2233,174000
2234,240000
2235,205000
2236,283463
2237,350000
2238,206300
2239,143500
2240,162000
2241,150900
2242,132500
2243,139000
2244,94750
2245,100000
2246,147500
2247,107500
2248,126000
2249,129500
2250,139000
2251,116000
2252,175000
2253,166000
2254,179000
2255,186700
2256,183900
2257,181000
2258,179900
2259,181000
2260,157900
2261,187500
2262,212000
2263,336000
2264,415298
2265,162000
2266,278000
2267,369900
2268,377500
2269,162500
2270,183900
2271,246578
2272,200000
2273,165000
2274,175000
2275,165000
2276,171750
2277,175000
2278,145000
2279,128500
2280,118000
2281,176432
2282,177000
2283,97000
2284,113000
2285,145000
2286,125000
2287,337500
2288,280000
2289,423000
2290,402861
2291,317000
2292,380000
2293,438780
2294,380000
2295,437154
2296,250000
2297,310000
2298,320000
2299,380000
2300,310000
2301,267000
2302,226000
2303,232000
2304,250000
2305,181500
2306,181500
2307,181000
2308,212000
2309,277500
2310,213500
2311,180000
2312,175000
2313,176000
2314,179540
2315,178000
2316,187500
2317,177000
2318,176000
2319,179540
2320,179000
2321,240000
2322,178740
2323,184000
2324,165000
2325,216837
2326,164500
2327,215000
2328,219500
2329,181000
2330,179000
2331,315000
2332,410000
2333,312500
2334,265000
2335,258000
2336,333168
2337,194500
2338,283463
2339,232000
2340,385000
2341,222000
2342,235000
2343,215200
2344,240000
2345,236500
2346,225000
2347,196000
2348,227000
2349,172785
2350,270000
2351,266000
2352,245350
2353,217000
2354,144000
2355,179600
2356,152000
2357,194000
2358,201000
2359,132000
2360,119000
2361,135000
2362,268000
2363,134500
2364,152000
2365,213500
2366,209500
2367,225000
2368,208900
2369,225000
2370,176000
2371,176000
2372,182000
2373,240000
2374,287000
2375,262500
2376,262280
2377,324000
2378,147000
2379,167000
2380,142000
2381,156000
2382,178000
2383,227000
2384,241000
2385,155000
2386,135000
2387,139000
2388,101800
2389,130000
2390,143250
2391,140000
2392,115000
2393,163000
2394,145500
2395,174000
2396,145250
2397,215000
2398,127000
2399,80000
2400,79000
2401,115000
2402,135000
2403,135000
2404,150000
2405,158500
2406,139000
2407,124500
2408,129000
2409,139000
2410,155000
2411,123000
2412,162000
2413,139000
2414,135000
2415,135000
2416,126000
2417,130000
2418,129900
2419,136000
2420,124500
2421,148000
2422,135000
2423,135000
2424,163000
2425,207000
2426,126175
2427,137000
2428,171000
2429,115000
2430,128500
2431,120000
2432,138000
2433,141000
2434,144000
2435,149700
2436,106500
2437,109900
2438,123000
2439,119900
2440,119000
2441,110000
2442,108500
2443,119000
2444,125000
2445,83000
2446,122500
2447,212000
2448,143000
2449,114504
2450,137000
2451,125500
2452,241500
2453,100000
2454,135500
2455,105000
2456,135000
2457,112500
2458,118500
2459,112000
2460,128000
2461,115000
2462,139500
2463,109900
2464,140000
2465,127000
2466,116000
2467,162000
2468,91000
2469,87000
2470,189000
2471,176000
2472,169000
2473,120500
2474,93000
2475,222000
2476,112000
2477,124500
2478,164500
2479,115000
2480,141000
2481,113000
2482,135960
2483,117500
2484,119500
2485,125000
2486,154000
2487,178000
2488,155835
2489,153000
2490,150000
2491,101000
2492,182900
2493,147000
2494,160000
2495,104900
2496,230000
2497,149000
2498,115000
2499,100000
2500,129000
2501,132500
2502,153000
2503,109900
